,dangerLevel,elevation_th,HN72_24,HN24_7d,Pen_depth,HN24,min_ccl_pen,RH,wind_trans24_3d,wind_trans24,wind_trans24_7d,warnreg
106864,4.0,1800.0,83.05775,86.25,34.000872488388204,35.92,0.2,100.0,8.58,2.5557500000000006,74.52,16.0
106870,3.0,1800.0,10.620625,10.62,25.372512051235127,3.28175,0.32,88.98750000000004,34.92,12.910625,68.85,16.0
106871,4.0,1800.0,76.4935,92.6,30.41327681408952,38.393,0.15,99.95,0.03,0.0,5.62,16.0
106872,3.0,1800.0,24.041875,28.22,19.51873838443078,7.19625,0.25,98.3375,24.1,6.9673750000000005,39.24,16.0
106873,3.0,1800.0,5.94375,8.03,11.548549436819346,3.680625,0.82,97.3875,0.0,0.0,0.13,16.0
106875,4.0,1800.0,65.088375,76.81,28.10568598368803,31.062625,0.25,100.0,53.06,33.14475,69.84,16.0
106878,3.0,1800.0,29.743125,29.74,26.095419426916948,20.123875,0.18,93.1875,116.0,67.50224999999999,210.28,16.0
106881,3.0,2000.0,43.04925,48.48,24.91821292156188,18.73975,0.21,71.225,91.55,13.8555,223.96,16.0
106884,3.0,1800.0,69.72525,108.79,21.805699643347992,24.545375000000003,0.24,62.5375,56.14,15.84525,79.43,16.0
106886,3.0,1800.0,80.44850000000002,114.8,32.43685699658108,18.691875,0.21,33.6125,74.43,16.30325,162.47,16.0
106888,3.0,2000.0,40.017125,59.34,20.87434410582848,18.18975,0.27,60.025,84.18,2.0325,255.55,16.0
106889,3.0,1800.0,81.339625,113.0,25.35396076429004,20.3975,0.22,60.225,0.0,0.0,4.86,16.0
106890,3.0,1800.0,66.04437499999999,78.52,24.24467097483795,27.3115,0.14,39.9375,41.64,2.037,125.33,16.0
106892,3.0,1800.0,57.29299999999999,73.92,27.988934758874223,29.7285,0.24,61.40000000000001,16.53,2.22075,74.21,16.0
106893,3.0,1800.0,85.55787500000002,112.33,22.539689178162927,33.557875,0.28,59.81250000000001,95.01,16.0255,135.96,16.0
106894,3.0,2000.0,84.62974999999999,128.14,27.555015241836468,27.017,0.25,99.7,71.23,0.375125,322.88,16.0
106895,3.0,2000.0,23.062625000000004,38.3,24.24272651035392,8.50375,0.3,60.55,65.96,41.521625,120.49,16.0
106896,3.0,2000.0,15.178125,18.68,25.5385825443433,8.062375,0.27,47.9875,20.29,1.59425,64.61,16.0
106897,3.0,2000.0,45.678125,58.15,28.56157427436028,25.17,0.22,55.43749999999999,118.28,30.443125,118.28,16.0
106900,3.0,1800.0,114.968,155.38,24.252152947399,30.120625,0.26,57.15,18.74,8.5,67.61,16.0
106905,3.0,1800.0,65.66525,94.59,24.724382411190053,17.773124999999997,0.27,75.2375,48.44,8.95575,78.74,16.0
106907,3.0,2000.0,7.425624999999997,12.46,14.80477041607286,3.0495,0.57,68.7,32.46,11.002875,177.83,16.0
106908,3.0,2000.0,17.442999999999998,19.93,12.396447204124168,11.9025,0.31,84.0875,0.0,0.0,0.13,16.0
106920,3.0,1800.0,81.48624999999998,109.09,25.20570257428343,22.84275,0.23,77.6875,3.61,0.0,68.87,16.0
106924,3.0,2000.0,4.445875000000001,16.8,12.238196002554355,4.184500000000001,0.73,61.8625,4.77,1.546125,88.35,16.0
106926,3.0,1800.0,64.47550000000001,78.06,25.01085338061085,27.99375,0.18,63.1875,21.15,14.71725,23.37,16.0
106927,3.0,2000.0,33.371875,40.01,19.297114247996387,23.064,0.22,66.2125,13.44,1.090625,32.91,16.0
106934,3.0,2000.0,27.46975,41.64,21.78115444257515,13.413625,0.29,49.675,19.54,3.323375,41.03,16.0
106947,3.0,1800.0,54.340375,66.69,22.25643859261147,12.615,0.25,68.14999999999999,208.26,46.03625,388.76,16.0
106951,3.0,2000.0,20.6945,24.27,13.843871220830032,11.4335,0.95,75.63749999999997,12.15,0.0,15.68,16.0
106952,3.0,1800.0,74.28399999999998,92.87,22.536688420513435,26.22600000000001,0.25,65.1875,70.12,55.22575000000001,100.59,16.0
106954,3.0,2000.0,4.859,8.76,12.714951224405745,2.11275,0.87,61.1875,35.11,28.066125,64.55,16.0
106959,3.0,2000.0,33.057125,41.22,15.633211594090447,15.2575,0.32,53.74375000000001,45.88,25.977625,206.05,16.0
106966,3.0,2000.0,56.188,78.06,22.922863088173127,0.0,0.27,18.1875,39.78,20.878875,43.83,16.0
